,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,87.56,93.28,0.00,90.72,47.27,0.00,0.76,0.02
grid,92.27,84.91,0.00,92.68,15.34,0.00,0.73,0.01
leather,99.39,97.23,0.00,97.30,32.67,0.00,0.74,0.01
tile,96.30,81.53,0.00,94.32,38.31,0.00,0.72,0.07
wood,94.56,79.12,0.00,93.65,27.45,0.00,0.76,0.04
bottle,89.56,85.45,0.00,89.21,52.29,0.00,0.76,0.06
cable,51.75,46.53,0.00,76.03,5.59,0.00,0.61,0.03
capsule,58.48,72.44,0.00,90.46,12.81,0.00,0.83,0.01
hazelnut,76.66,91.95,0.00,80.98,36.86,0.00,0.64,0.02
metal_nut,70.85,80.83,0.00,91.00,40.82,0.00,0.81,0.12
pill,76.28,44.88,0.00,91.86,12.83,0.00,0.84,0.03
screw,68.33,94.97,0.00,85.93,21.21,0.00,0.74,0.00
toothbrush,61.81,53.61,0.00,84.51,9.20,0.00,0.71,0.02
transistor,68.60,57.60,0.00,63.16,14.04,0.00,0.40,0.05
zipper,86.12,77.03,0.00,91.06,34.39,0.00,0.79,0.02
