,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,94.48,83.17,0.00,92.90,44.96,0.00,0.76,0.02
grid,97.16,92.87,0.00,99.13,31.48,0.00,0.73,0.01
leather,100.00,98.57,0.00,100.00,33.62,0.00,0.74,0.01
tile,91.65,77.45,0.00,91.43,40.09,0.00,0.72,0.07
wood,92.06,87.53,0.00,92.68,33.74,0.00,0.76,0.04
bottle,92.62,79.90,0.00,91.04,53.85,0.00,0.76,0.06
cable,36.00,50.96,0.00,76.03,7.09,0.00,0.61,0.03
capsule,57.88,80.09,0.00,90.46,10.72,0.00,0.83,0.01
hazelnut,85.34,91.70,0.00,86.08,42.15,0.00,0.64,0.02
metal_nut,80.40,79.59,0.00,92.31,45.07,0.00,0.81,0.12
pill,68.09,64.25,0.00,91.56,16.50,0.00,0.84,0.03
screw,54.86,86.01,0.00,85.30,10.45,0.00,0.74,0.00
toothbrush,62.36,75.03,0.00,84.51,11.72,0.00,0.71,0.02
transistor,72.60,56.39,0.00,65.96,10.57,0.00,0.40,0.05
zipper,79.75,63.96,0.00,88.64,26.66,0.00,0.79,0.02
