,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,89.77,89.52,0.00,91.67,47.47,0.00,0.76,0.02
grid,97.24,91.48,0.00,99.13,20.56,0.00,0.73,0.01
leather,99.80,98.46,0.00,98.92,33.81,0.00,0.74,0.01
tile,90.48,72.89,0.00,91.53,31.46,0.00,0.72,0.07
wood,94.04,90.20,0.00,93.65,37.49,0.00,0.76,0.04
bottle,91.47,86.55,0.00,90.91,53.18,0.00,0.76,0.06
cable,48.88,53.79,0.00,76.03,8.68,0.00,0.61,0.03
capsule,55.17,78.70,0.00,90.46,12.01,0.00,0.83,0.01
hazelnut,82.88,93.49,0.00,83.54,39.64,0.00,0.64,0.02
metal_nut,76.30,85.56,0.00,91.09,50.76,0.00,0.81,0.12
pill,68.56,61.41,0.00,91.56,12.33,0.00,0.84,0.03
screw,67.00,93.12,0.00,86.03,16.69,0.00,0.74,0.00
toothbrush,49.86,85.70,0.00,83.33,11.56,0.00,0.71,0.02
transistor,66.94,55.84,0.00,62.14,10.21,0.00,0.40,0.05
zipper,79.87,69.47,0.00,88.81,31.71,0.00,0.79,0.02
