,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,77.13,83.69,0.00,87.63,42.46,0.00,0.76,0.02
grid,98.37,91.82,0.00,98.28,19.40,0.00,0.73,0.01
leather,99.34,98.45,0.00,97.87,32.95,0.00,0.74,0.01
tile,87.88,71.50,0.00,88.76,29.59,0.00,0.72,0.07
wood,90.96,87.19,0.00,91.47,34.69,0.00,0.76,0.04
bottle,91.51,88.25,0.00,91.18,54.25,0.00,0.76,0.06
cable,44.90,56.29,0.00,76.03,9.04,0.00,0.61,0.03
capsule,53.17,78.34,0.00,90.46,11.91,0.00,0.83,0.01
hazelnut,82.02,94.73,0.00,83.13,41.02,0.00,0.64,0.02
metal_nut,80.74,83.96,0.00,91.00,46.75,0.00,0.81,0.12
pill,69.49,61.94,0.00,91.56,14.78,0.00,0.84,0.03
screw,50.63,87.58,0.00,85.30,12.53,0.00,0.74,0.00
toothbrush,58.47,87.96,0.00,83.33,13.40,0.00,0.71,0.02
transistor,62.15,61.10,0.00,57.89,12.54,0.00,0.40,0.05
zipper,81.04,62.15,0.00,88.72,30.44,0.00,0.79,0.02
