,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,97.39,70.02,0.00,94.25,30.73,0.00,0.76,0.02
grid,97.28,88.02,0.00,98.28,10.71,0.00,0.73,0.01
leather,99.76,98.52,0.00,99.46,30.70,0.00,0.74,0.01
tile,87.70,72.77,0.00,88.10,33.62,0.00,0.72,0.07
wood,71.27,88.36,0.00,88.24,32.31,0.00,0.76,0.04
bottle,93.37,78.37,0.00,92.56,51.90,0.00,0.76,0.06
cable,55.99,52.84,0.00,76.35,8.47,0.00,0.61,0.03
capsule,54.33,61.63,0.00,90.46,11.91,0.00,0.83,0.01
hazelnut,63.38,78.59,0.00,79.10,29.65,0.00,0.64,0.02
metal_nut,69.87,50.00,0.00,89.42,21.02,0.00,0.81,0.12
pill,69.27,50.16,0.00,91.56,6.70,0.00,0.84,0.03
screw,58.23,89.22,0.00,86.55,7.11,0.00,0.74,0.00
toothbrush,58.19,88.44,0.00,83.33,15.96,0.00,0.71,0.02
transistor,68.15,54.90,0.00,60.00,11.30,0.00,0.40,0.05
zipper,70.17,72.02,0.00,88.15,15.85,0.00,0.79,0.02
