,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,92.11,89.96,0.00,91.40,48.79,0.00,0.76,0.02
grid,98.08,92.65,0.00,97.44,22.41,0.00,0.73,0.01
leather,99.58,98.25,0.00,98.40,36.42,0.00,0.74,0.01
tile,94.14,78.27,0.00,92.40,37.46,0.00,0.72,0.07
wood,94.74,91.17,0.00,94.02,39.44,0.00,0.76,0.04
bottle,90.60,88.04,0.00,89.76,51.66,0.00,0.76,0.06
cable,46.64,56.44,0.00,76.03,8.16,0.00,0.61,0.03
capsule,56.76,81.57,0.00,90.46,12.17,0.00,0.83,0.01
hazelnut,75.02,92.79,0.00,80.47,38.62,0.00,0.64,0.02
metal_nut,72.75,84.60,0.00,90.73,46.12,0.00,0.81,0.12
pill,74.96,58.80,0.00,91.56,13.34,0.00,0.84,0.03
screw,68.67,96.29,0.00,86.45,21.24,0.00,0.74,0.00
toothbrush,57.50,85.92,0.00,83.33,14.85,0.00,0.71,0.02
transistor,64.75,57.50,0.00,61.95,12.94,0.00,0.40,0.05
zipper,84.60,72.24,0.00,90.12,34.84,0.00,0.79,0.02
