,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,50.22,32.45,0.00,86.41,3.77,0.00,0.76,0.02
grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
leather,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tile,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
wood,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bottle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
capsule,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
hazelnut,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
metal_nut,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pill,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
screw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
toothbrush,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
transistor,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zipper,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
