,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,89.95,90.65,0.00,91.21,46.73,0.00,0.76,0.02
grid,97.16,92.66,0.00,97.44,25.59,0.00,0.73,0.01
leather,99.54,98.13,0.00,98.40,34.61,0.00,0.74,0.01
tile,94.46,78.10,0.00,92.31,37.20,0.00,0.72,0.07
wood,94.78,90.77,0.00,93.22,38.07,0.00,0.76,0.04
bottle,89.76,87.34,0.00,89.76,51.50,0.00,0.76,0.06
cable,49.61,55.56,0.00,76.03,7.82,0.00,0.61,0.03
capsule,58.06,80.07,0.00,90.46,12.20,0.00,0.83,0.01
hazelnut,79.62,92.79,0.00,81.76,38.24,0.00,0.64,0.02
metal_nut,72.26,83.51,0.00,90.73,44.84,0.00,0.81,0.12
pill,75.38,56.94,0.00,91.56,13.93,0.00,0.84,0.03
screw,68.61,96.21,0.00,86.76,21.58,0.00,0.74,0.00
toothbrush,57.36,85.08,0.00,83.33,14.20,0.00,0.71,0.02
transistor,68.83,57.22,0.00,64.91,12.59,0.00,0.40,0.05
zipper,85.03,71.66,0.00,90.20,34.42,0.00,0.79,0.02
