,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,63.46,90.97,0.00,86.41,39.14,0.00,0.76,0.02
grid,94.49,86.34,0.00,95.65,16.66,0.00,0.73,0.01
leather,92.05,95.04,0.00,92.06,26.64,0.00,0.74,0.01
tile,82.07,58.63,0.00,84.85,20.35,0.00,0.72,0.07
wood,87.19,90.89,0.00,90.08,42.33,0.00,0.76,0.04
bottle,12.98,16.73,0.00,86.30,10.92,0.00,0.76,0.06
cable,50.52,61.28,0.00,76.35,8.10,0.00,0.61,0.03
capsule,33.71,61.58,0.00,90.83,3.70,0.00,0.83,0.01
hazelnut,49.23,36.40,0.00,77.78,4.18,0.00,0.64,0.02
metal_nut,66.96,52.96,0.00,89.86,24.07,0.00,0.81,0.12
pill,62.42,50.19,0.00,91.56,6.50,0.00,0.84,0.03
screw,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
toothbrush,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
transistor,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zipper,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
