,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,73.54,38.43,0.00,86.83,3.15,0.00,0.76,0.02
grid,65.37,20.91,0.00,84.44,1.37,0.00,0.73,0.01
leather,87.82,26.61,0.00,90.62,1.29,0.00,0.74,0.01
tile,73.32,51.67,0.00,83.58,13.52,0.00,0.72,0.07
wood,78.29,52.72,0.00,91.60,7.77,0.00,0.76,0.04
bottle,64.60,29.00,0.00,86.30,10.92,0.00,0.76,0.06
cable,54.87,68.19,0.00,76.03,11.49,0.00,0.61,0.03
capsule,65.42,56.47,0.00,90.46,2.50,0.00,0.83,0.01
hazelnut,72.30,49.56,0.00,79.10,6.21,0.00,0.64,0.02
metal_nut,55.03,56.83,0.00,89.42,22.77,0.00,0.81,0.12
pill,76.95,70.19,0.00,91.80,16.64,0.00,0.84,0.03
screw,71.77,42.49,0.00,88.06,0.52,0.00,0.74,0.00
toothbrush,52.64,88.53,0.00,83.33,18.55,0.00,0.71,0.02
transistor,60.23,62.45,0.00,57.60,13.67,0.00,0.40,0.05
zipper,45.93,37.82,0.00,88.15,4.12,0.00,0.79,0.02
