,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,68.08,29.87,0.00,86.41,3.15,0.00,0.76,0.02
grid,59.48,23.06,0.00,84.44,1.37,0.00,0.73,0.01
leather,75.44,15.62,0.00,85.19,1.29,0.00,0.74,0.01
tile,77.42,49.47,0.00,83.80,13.20,0.00,0.72,0.07
wood,84.65,55.99,0.00,91.06,11.00,0.00,0.76,0.04
bottle,66.35,25.14,0.00,86.30,10.92,0.00,0.76,0.06
cable,57.43,63.20,0.00,76.03,9.32,0.00,0.61,0.03
capsule,61.61,61.84,0.00,90.46,6.47,0.00,0.83,0.01
hazelnut,81.27,47.05,0.00,81.53,7.42,0.00,0.64,0.02
metal_nut,70.01,59.54,0.00,89.42,24.71,0.00,0.81,0.12
pill,80.55,73.88,0.00,91.56,19.89,0.00,0.84,0.03
screw,57.68,46.27,0.00,86.35,0.53,0.00,0.74,0.00
toothbrush,60.42,84.62,0.00,83.33,15.51,0.00,0.71,0.02
transistor,63.31,56.97,0.00,60.18,12.02,0.00,0.40,0.05
zipper,48.91,37.65,0.00,88.15,4.05,0.00,0.79,0.02
