,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,89.80,74.71,0.00,90.16,36.82,0.00,0.76,0.06
perfect -imperfect ,88.85,81.10,0.00,89.71,47.31,0.00,0.76,0.06
good -bad ,84.25,76.63,0.00,88.70,43.09,0.00,0.76,0.06
undamaged -damaged ,90.52,88.11,0.00,90.00,52.89,0.00,0.76,0.06
unbroken -broken ,89.29,77.68,0.00,89.66,53.00,0.00,0.76,0.06
unblemished -blemished ,54.21,84.29,0.00,86.30,31.61,0.00,0.76,0.06
 without flaw- with flaw,86.19,81.46,0.00,90.00,45.24,0.00,0.76,0.06
 without defect- with defect,61.55,68.09,0.00,86.30,19.54,0.00,0.76,0.06
 without damage- with damage,85.79,82.01,0.00,88.41,45.25,0.00,0.76,0.06
mean,89.72,87.33,0.00,89.76,51.50,0.00,0.76,0.06
