,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,47.27,42.80,0.00,76.03,5.80,0.00,0.61,0.03
perfect -imperfect ,52.94,62.64,0.00,76.67,11.26,0.00,0.61,0.03
good -bad ,56.04,60.49,0.00,76.03,16.07,0.00,0.61,0.03
undamaged -damaged ,53.96,65.96,0.00,76.03,13.06,0.00,0.61,0.03
unbroken -broken ,50.99,52.20,0.00,76.03,6.26,0.00,0.61,0.03
unblemished -blemished ,63.32,77.02,0.00,76.15,27.37,0.00,0.61,0.03
 without flaw- with flaw,43.70,51.13,0.00,76.03,5.92,0.00,0.61,0.03
 without defect- with defect,47.85,51.37,0.00,76.03,6.91,0.00,0.61,0.03
 without damage- with damage,54.90,52.04,0.00,76.19,5.97,0.00,0.61,0.03
mean,49.65,55.59,0.00,76.03,7.84,0.00,0.61,0.03
