,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,53.61,79.73,0.00,90.83,7.57,0.00,0.83,0.01
perfect -imperfect ,72.30,67.98,0.00,91.21,8.98,0.00,0.83,0.01
good -bad ,54.21,65.07,0.00,90.46,11.10,0.00,0.83,0.01
undamaged -damaged ,54.97,66.89,0.00,90.83,12.41,0.00,0.83,0.01
unbroken -broken ,51.56,72.75,0.00,90.46,12.31,0.00,0.83,0.01
unblemished -blemished ,54.37,68.17,0.00,90.46,5.90,0.00,0.83,0.01
 without flaw- with flaw,59.51,85.31,0.00,90.46,11.24,0.00,0.83,0.01
 without defect- with defect,60.57,77.46,0.00,90.46,12.08,0.00,0.83,0.01
 without damage- with damage,54.83,65.09,0.00,90.46,11.76,0.00,0.83,0.01
mean,58.10,80.06,0.00,90.46,12.20,0.00,0.83,0.01
