,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,50.22,32.45,0.00,86.41,3.77,0.00,0.76,0.02
perfect -imperfect ,77.89,84.26,0.00,89.69,37.66,0.00,0.76,0.02
good -bad ,78.21,90.39,0.00,87.43,46.42,0.00,0.76,0.02
undamaged -damaged ,91.33,93.09,0.00,91.30,47.91,0.00,0.76,0.02
unbroken -broken ,95.45,83.06,0.00,94.44,45.71,0.00,0.76,0.02
unblemished -blemished ,58.11,93.74,0.00,87.25,33.01,0.00,0.76,0.02
 without flaw- with flaw,89.00,77.37,0.00,92.39,32.88,0.00,0.76,0.02
 without defect- with defect,89.21,76.62,0.00,90.22,43.32,0.00,0.76,0.02
 without damage- with damage,88.40,93.47,0.00,89.53,46.85,0.00,0.76,0.02
mean,89.81,90.64,0.00,90.81,46.73,0.00,0.76,0.02
