,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,88.89,80.75,0.00,90.16,4.62,0.00,0.73,0.01
perfect -imperfect ,84.17,66.54,0.00,90.32,7.15,0.00,0.73,0.01
good -bad ,81.66,76.31,0.00,87.80,7.12,0.00,0.73,0.01
undamaged -damaged ,96.99,93.59,0.00,98.28,32.76,0.00,0.73,0.01
unbroken -broken ,97.74,90.27,0.00,98.25,27.68,0.00,0.73,0.01
unblemished -blemished ,94.44,88.85,0.00,93.44,27.83,0.00,0.73,0.01
 without flaw- with flaw,75.48,55.46,0.00,88.71,1.87,0.00,0.73,0.01
 without defect- with defect,80.58,80.21,0.00,86.40,16.87,0.00,0.73,0.01
 without damage- with damage,96.74,89.24,0.00,95.65,27.79,0.00,0.73,0.01
mean,97.16,92.66,0.00,97.44,25.60,0.00,0.73,0.01
