,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,70.61,85.50,0.00,79.10,33.79,0.00,0.64,0.02
perfect -imperfect ,84.18,91.71,0.00,85.33,41.20,0.00,0.64,0.02
good -bad ,88.46,91.98,0.00,87.42,46.82,0.00,0.64,0.02
undamaged -damaged ,81.41,93.31,0.00,84.08,40.11,0.00,0.64,0.02
unbroken -broken ,85.16,82.37,0.00,83.69,39.59,0.00,0.64,0.02
unblemished -blemished ,62.07,73.36,0.00,77.78,22.21,0.00,0.64,0.02
 without flaw- with flaw,76.84,80.70,0.00,78.26,26.97,0.00,0.64,0.02
 without defect- with defect,81.71,84.30,0.00,84.42,26.49,0.00,0.64,0.02
 without damage- with damage,81.25,92.14,0.00,83.13,35.97,0.00,0.64,0.02
mean,79.62,92.79,0.00,81.76,38.25,0.00,0.64,0.02
