,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,86.94,83.28,0.00,89.34,19.27,0.00,0.74,0.01
perfect -imperfect ,99.97,98.18,0.00,99.46,34.81,0.00,0.74,0.01
good -bad ,98.56,98.59,0.00,97.24,32.68,0.00,0.74,0.01
undamaged -damaged ,99.17,96.87,0.00,96.81,34.06,0.00,0.74,0.01
unbroken -broken ,99.83,98.66,0.00,99.46,34.34,0.00,0.74,0.01
unblemished -blemished ,97.37,97.12,0.00,95.65,26.45,0.00,0.74,0.01
 without flaw- with flaw,100.00,97.17,0.00,100.00,32.72,0.00,0.74,0.01
 without defect- with defect,100.00,97.80,0.00,100.00,33.64,0.00,0.74,0.01
 without damage- with damage,98.51,92.07,0.00,97.27,32.12,0.00,0.74,0.01
mean,99.54,98.13,0.00,98.40,34.61,0.00,0.74,0.01
