,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,81.48,82.75,0.00,90.73,43.06,0.00,0.81,0.12
perfect -imperfect ,68.65,78.67,0.00,89.86,42.45,0.00,0.81,0.12
good -bad ,74.44,72.57,0.00,89.42,35.52,0.00,0.81,0.12
undamaged -damaged ,73.88,78.44,0.00,90.64,38.82,0.00,0.81,0.12
unbroken -broken ,79.23,73.11,0.00,91.18,34.90,0.00,0.81,0.12
unblemished -blemished ,68.35,37.36,0.00,89.42,20.97,0.00,0.81,0.12
 without flaw- with flaw,63.49,77.06,0.00,89.66,37.28,0.00,0.81,0.12
 without defect- with defect,60.36,68.23,0.00,89.42,27.85,0.00,0.81,0.12
 without damage- with damage,70.33,78.46,0.00,91.63,36.77,0.00,0.81,0.12
mean,72.26,83.52,0.00,90.73,44.85,0.00,0.81,0.12
