,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,56.78,53.78,0.00,91.56,10.43,0.00,0.84,0.03
perfect -imperfect ,50.41,67.52,0.00,91.56,15.42,0.00,0.84,0.03
good -bad ,66.01,65.04,0.00,91.86,12.28,0.00,0.84,0.03
undamaged -damaged ,75.89,64.87,0.00,91.56,15.39,0.00,0.84,0.03
unbroken -broken ,75.82,43.98,0.00,91.86,8.19,0.00,0.84,0.03
unblemished -blemished ,55.82,63.23,0.00,91.56,11.27,0.00,0.84,0.03
 without flaw- with flaw,53.61,55.26,0.00,91.56,11.97,0.00,0.84,0.03
 without defect- with defect,67.68,57.53,0.00,91.56,13.45,0.00,0.84,0.03
 without damage- with damage,77.51,57.12,0.00,91.56,13.59,0.00,0.84,0.03
mean,75.33,56.94,0.00,91.56,13.94,0.00,0.84,0.03
