,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,48.07,89.08,0.00,85.92,7.16,0.00,0.74,0.00
perfect -imperfect ,49.39,48.03,0.00,85.30,2.05,0.00,0.74,0.00
good -bad ,47.41,72.44,0.00,85.30,5.78,0.00,0.74,0.00
undamaged -damaged ,65.48,95.07,0.00,86.13,21.37,0.00,0.74,0.00
unbroken -broken ,58.70,88.39,0.00,86.45,7.72,0.00,0.74,0.00
unblemished -blemished ,49.72,64.82,0.00,85.30,2.87,0.00,0.74,0.00
 without flaw- with flaw,48.27,92.85,0.00,85.30,7.63,0.00,0.74,0.00
 without defect- with defect,50.72,93.40,0.00,85.30,10.16,0.00,0.74,0.00
 without damage- with damage,67.13,95.45,0.00,85.82,17.53,0.00,0.74,0.00
mean,68.67,96.21,0.00,86.76,21.59,0.00,0.74,0.00
