,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,42.15,24.57,0.00,83.58,13.15,0.00,0.72,0.07
perfect -imperfect ,60.34,53.57,0.00,83.58,14.60,0.00,0.72,0.07
good -bad ,85.82,76.81,0.00,88.00,38.36,0.00,0.72,0.07
undamaged -damaged ,92.26,87.13,0.00,91.12,44.03,0.00,0.72,0.07
unbroken -broken ,88.19,66.45,0.00,88.89,27.77,0.00,0.72,0.07
unblemished -blemished ,77.42,58.33,0.00,85.71,22.21,0.00,0.72,0.07
 without flaw- with flaw,83.26,67.22,0.00,84.88,31.38,0.00,0.72,0.07
 without defect- with defect,91.79,76.29,0.00,90.80,30.79,0.00,0.72,0.07
 without damage- with damage,96.77,62.94,0.00,93.90,25.58,0.00,0.72,0.07
mean,94.44,78.10,0.00,92.31,37.20,0.00,0.72,0.07
