,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,43.89,83.95,0.00,84.51,9.79,0.00,0.71,0.02
perfect -imperfect ,65.69,68.95,0.00,84.51,10.49,0.00,0.71,0.02
good -bad ,53.75,82.47,0.00,83.33,10.74,0.00,0.71,0.02
undamaged -damaged ,54.58,89.54,0.00,84.06,19.11,0.00,0.71,0.02
unbroken -broken ,49.86,77.78,0.00,83.33,13.07,0.00,0.71,0.02
unblemished -blemished ,54.72,78.34,0.00,84.51,8.84,0.00,0.71,0.02
 without flaw- with flaw,53.47,87.35,0.00,83.33,12.97,0.00,0.71,0.02
 without defect- with defect,23.61,61.55,0.00,83.33,4.37,0.00,0.71,0.02
 without damage- with damage,50.28,68.96,0.00,83.33,12.53,0.00,0.71,0.02
mean,57.50,85.06,0.00,83.33,14.19,0.00,0.71,0.02
