,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,71.10,45.60,0.00,61.26,9.15,0.00,0.40,0.05
perfect -imperfect ,70.58,52.68,0.00,64.81,9.80,0.00,0.40,0.05
good -bad ,71.79,51.91,0.00,66.67,10.23,0.00,0.40,0.05
undamaged -damaged ,66.44,57.91,0.00,61.67,13.03,0.00,0.40,0.05
unbroken -broken ,58.98,51.17,0.00,58.73,10.09,0.00,0.40,0.05
unblemished -blemished ,45.17,47.68,0.00,57.14,9.66,0.00,0.40,0.05
 without flaw- with flaw,51.38,58.23,0.00,57.14,12.31,0.00,0.40,0.05
 without defect- with defect,50.79,53.73,0.00,57.14,10.64,0.00,0.40,0.05
 without damage- with damage,61.81,61.41,0.00,60.71,16.62,0.00,0.40,0.05
mean,68.83,57.22,0.00,64.91,12.59,0.00,0.40,0.05
