,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,73.51,67.90,0.00,87.41,19.00,0.00,0.76,0.04
perfect -imperfect ,66.54,73.52,0.00,86.96,23.17,0.00,0.76,0.04
good -bad ,94.96,95.73,0.00,93.44,57.62,0.00,0.76,0.04
undamaged -damaged ,95.57,89.16,0.00,94.49,37.77,0.00,0.76,0.04
unbroken -broken ,91.54,84.36,0.00,91.94,31.62,0.00,0.76,0.04
unblemished -blemished ,83.95,76.65,0.00,88.89,32.77,0.00,0.76,0.04
 without flaw- with flaw,95.70,63.88,0.00,94.12,15.14,0.00,0.76,0.04
 without defect- with defect,92.59,80.19,0.00,92.19,25.18,0.00,0.76,0.04
 without damage- with damage,90.18,83.02,0.00,90.91,32.65,0.00,0.76,0.04
mean,94.78,90.77,0.00,93.22,38.07,0.00,0.76,0.04
