,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
flawless -flawed ,66.10,50.17,0.00,88.48,6.82,0.00,0.79,0.02
perfect -imperfect ,68.58,62.78,0.00,88.15,9.73,0.00,0.79,0.02
good -bad ,69.49,70.85,0.00,88.15,23.74,0.00,0.79,0.02
undamaged -damaged ,88.22,84.52,0.00,91.74,37.33,0.00,0.79,0.02
unbroken -broken ,83.78,65.49,0.00,90.42,24.27,0.00,0.79,0.02
unblemished -blemished ,71.24,36.61,0.00,88.15,16.64,0.00,0.79,0.02
 without flaw- with flaw,81.01,78.94,0.00,88.15,23.70,0.00,0.79,0.02
 without defect- with defect,79.56,46.04,0.00,89.39,23.44,0.00,0.79,0.02
 without damage- with damage,83.69,73.92,0.00,90.84,30.65,0.00,0.79,0.02
mean,85.01,71.68,0.00,90.20,34.42,0.00,0.79,0.02
