,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,73.15,38.45,0.00,86.83,3.15,0.00,0.76,0.02
grid,65.33,20.88,0.00,84.44,1.37,0.00,0.73,0.01
leather,87.70,26.82,0.00,90.53,1.29,0.00,0.74,0.01
tile,73.52,52.09,0.00,83.58,13.53,0.00,0.72,0.07
wood,78.42,52.64,0.00,92.31,7.77,0.00,0.76,0.04
bottle,66.19,29.37,0.00,86.30,10.93,0.00,0.76,0.06
cable,54.91,68.20,0.00,76.03,11.52,0.00,0.61,0.03
capsule,63.30,56.57,0.00,90.46,2.55,0.00,0.83,0.01
hazelnut,72.57,49.20,0.00,79.10,6.19,0.00,0.64,0.02
metal_nut,58.60,56.98,0.00,89.42,22.74,0.00,0.81,0.12
pill,76.98,70.03,0.00,91.56,16.44,0.00,0.84,0.03
screw,71.82,43.08,0.00,88.21,0.52,0.00,0.74,0.00
toothbrush,53.06,88.54,0.00,84.51,18.60,0.00,0.71,0.02
transistor,59.33,62.14,0.00,57.60,13.54,0.00,0.40,0.05
zipper,45.82,37.67,0.00,88.30,4.12,0.00,0.79,0.02
