,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,72.11,65.20,0.00,86.83,21.85,0.00
grid,96.49,86.24,0.00,94.55,24.47,0.00
leather,96.54,88.08,0.00,94.25,34.94,0.00
tile,92.57,62.73,0.00,91.02,19.93,0.00
wood,86.32,89.71,0.00,92.68,45.62,0.00
bottle,92.78,84.00,0.00,91.30,39.65,0.00
cable,50.97,67.48,0.00,76.03,11.78,0.00
capsule,56.28,48.75,0.00,90.46,2.39,0.00
hazelnut,80.79,80.17,0.00,81.76,26.12,0.00
metal_nut,65.25,46.90,0.00,90.29,21.33,0.00
pill,57.56,55.54,0.00,91.86,7.20,0.00
screw,57.61,76.22,0.00,85.40,4.65,0.00
toothbrush,41.67,51.39,0.00,83.33,3.76,0.00
transistor,66.62,52.97,0.00,61.42,10.30,0.00
zipper,75.50,73.82,0.00,88.15,23.09,0.00
