,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,95.47,12.44,0.00,95.08,3.16,0.00,0.76,0.02
grid,89.31,27.48,0.00,90.76,1.38,0.00,0.73,0.01
leather,51.56,10.35,0.00,85.85,1.29,0.00,0.74,0.01
tile,95.35,25.35,0.00,94.05,13.15,0.00,0.72,0.07
wood,75.53,50.31,0.00,87.02,9.23,0.00,0.76,0.04
bottle,79.68,53.62,0.00,88.41,11.82,0.00,0.76,0.06
cable,45.95,45.96,0.00,76.03,5.66,0.00,0.61,0.03
capsule,44.20,32.55,0.00,90.46,1.84,0.00,0.83,0.01
hazelnut,74.46,42.27,0.00,81.48,4.22,0.00,0.64,0.02
metal_nut,61.73,25.58,0.00,89.42,21.07,0.00,0.81,0.12
pill,62.30,48.06,0.00,91.56,6.61,0.00,0.84,0.03
screw,40.75,50.56,0.00,85.30,0.57,0.00,0.74,0.00
toothbrush,58.06,52.35,0.00,83.33,3.31,0.00,0.71,0.02
transistor,65.33,44.93,0.00,61.18,9.14,0.00,0.40,0.05
zipper,64.05,40.94,0.00,88.48,4.30,0.00,0.79,0.02
