,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,72.75,62.63,0.00,87.44,20.01,0.00,0.76,0.02
grid,95.07,89.27,0.00,95.50,28.79,0.00,0.73,0.01
leather,87.33,81.98,0.00,88.44,26.28,0.00,0.74,0.01
tile,90.80,56.51,0.00,89.82,18.75,0.00,0.72,0.07
wood,82.72,89.94,0.00,90.08,46.08,0.00,0.76,0.04
bottle,90.08,85.52,0.00,91.20,41.73,0.00,0.76,0.06
cable,53.13,68.48,0.00,76.35,11.81,0.00,0.61,0.03
capsule,56.84,62.04,0.00,90.83,4.49,0.00,0.83,0.01
hazelnut,80.89,91.31,0.00,83.69,32.92,0.00,0.64,0.02
metal_nut,63.49,43.18,0.00,89.42,21.65,0.00,0.81,0.12
pill,68.85,69.04,0.00,91.80,12.50,0.00,0.84,0.03
screw,59.77,87.50,0.00,85.61,7.11,0.00,0.74,0.00
toothbrush,66.11,73.23,0.00,83.33,5.84,0.00,0.71,0.02
transistor,61.67,54.10,0.00,60.80,9.67,0.00,0.40,0.05
zipper,80.86,70.80,0.00,88.15,26.12,0.00,0.79,0.02
