,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,a/n_i_ratio,a/n_p_ratio
carpet,79.96,70.87,0.00,88.56,28.70,0.00,0.76,0.02
grid,96.49,89.08,0.00,95.50,29.02,0.00,0.73,0.01
leather,89.64,85.02,0.00,90.16,28.25,0.00,0.74,0.01
tile,95.38,56.00,0.00,92.66,22.48,0.00,0.72,0.07
wood,84.47,91.14,0.00,90.48,48.18,0.00,0.76,0.04
bottle,92.70,86.91,0.00,92.06,42.26,0.00,0.76,0.06
cable,53.50,65.15,0.00,76.03,10.41,0.00,0.61,0.03
capsule,60.75,60.07,0.00,91.45,5.41,0.00,0.83,0.01
hazelnut,84.64,92.49,0.00,85.71,36.18,0.00,0.64,0.02
metal_nut,70.38,38.52,0.00,89.42,21.30,0.00,0.81,0.12
pill,74.00,71.36,0.00,91.56,14.59,0.00,0.84,0.03
screw,58.58,84.75,0.00,85.30,4.57,0.00,0.74,0.00
toothbrush,80.00,74.21,0.00,89.23,6.61,0.00,0.71,0.02
transistor,65.54,54.10,0.00,60.76,9.71,0.00,0.40,0.05
zipper,83.30,66.97,0.00,88.48,26.32,0.00,0.79,0.02
