,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,99.48,74.13,0.00,98.32,9.15,0.00
grid,96.24,68.75,0.00,94.83,3.57,0.00
leather,100.00,74.84,0.00,100.00,3.87,0.00
tile,99.31,63.31,0.00,98.81,18.53,0.00
wood,97.28,69.61,0.00,95.08,20.65,0.00
bottle,99.05,69.07,0.00,96.92,18.80,0.00
cable,61.64,62.79,0.00,76.92,10.52,0.00
capsule,58.48,72.47,0.00,90.46,7.55,0.00
hazelnut,91.21,70.16,0.00,87.14,7.69,0.00
metal_nut,86.27,56.54,0.00,89.86,24.35,0.00
pill,81.01,42.93,0.00,91.56,6.52,0.00
screw,75.38,70.31,0.00,86.47,2.65,0.00
toothbrush,72.22,69.03,0.00,87.88,5.46,0.00
transistor,85.00,77.77,0.00,75.61,23.23,0.00
zipper,94.07,79.86,0.00,93.23,10.64,0.00
