,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,95.47,12.44,0.00,95.08,3.16,0.00
grid,89.31,27.48,0.00,90.76,1.38,0.00
leather,51.56,10.35,0.00,85.85,1.29,0.00
tile,95.35,25.35,0.00,94.05,13.15,0.00
wood,67.81,46.72,0.00,88.89,7.45,0.00
bottle,76.35,31.79,0.00,86.30,10.93,0.00
cable,0.00,0.00,0.00,0.00,0.00,0.00
capsule,0.00,0.00,0.00,0.00,0.00,0.00
hazelnut,0.00,0.00,0.00,0.00,0.00,0.00
metal_nut,0.00,0.00,0.00,0.00,0.00,0.00
pill,0.00,0.00,0.00,0.00,0.00,0.00
screw,0.00,0.00,0.00,0.00,0.00,0.00
toothbrush,0.00,0.00,0.00,0.00,0.00,0.00
transistor,0.00,0.00,0.00,0.00,0.00,0.00
zipper,0.00,0.00,0.00,0.00,0.00,0.00
