,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
carpet,97.11,78.61,0.00,96.74,14.55,0.00
grid,73.18,12.68,0.00,87.69,1.38,0.00
leather,76.63,3.31,0.00,88.78,1.29,0.00
tile,86.62,19.85,0.00,88.04,13.15,0.00
wood,59.47,23.90,0.00,86.33,7.44,0.00
bottle,78.81,26.61,0.00,88.57,10.93,0.00
cable,53.47,34.39,0.00,76.67,5.58,0.00
capsule,44.12,13.33,0.00,90.46,1.82,0.00
hazelnut,54.14,13.25,0.00,79.31,4.18,0.00
metal_nut,49.76,32.47,0.00,89.42,20.98,0.00
pill,57.15,21.81,0.00,91.56,6.50,0.00
screw,32.65,6.70,0.00,85.30,0.50,0.00
toothbrush,42.78,18.16,0.00,83.33,3.02,0.00
transistor,42.88,33.36,0.00,57.14,9.14,0.00
zipper,70.75,33.52,0.00,88.48,4.06,0.00
