2023-07-16 23:38:29.068 | INFO     | utils.training_utils:get_dir_from_args:51 - ===> Root dir for this experiment: ./result_winclip/mvtec-k-0/logger/bottle
2023-07-16 23:38:29.071 | INFO     | datasets:get_dataloader_from_args:43 - ===> datasets: mvtec, class name/len: bottle/83, batch size: 128
2023-07-16 23:38:38.722 | INFO     | test:test:26 - begin build text feature gallery...
2023-07-16 23:38:39.011 | INFO     | test:test:28 - build text feature gallery finished.
2023-07-16 23:38:59.763 | INFO     | __main__:run_winclip:41 - bottle=======i_roc: 97.54
2023-07-16 23:38:59.763 | INFO     | __main__:run_winclip:41 - bottle=======p_roc: 90.32
2023-07-16 23:38:59.763 | INFO     | __main__:run_winclip:41 - bottle=======p_pro: 0.00
2023-07-16 23:38:59.763 | INFO     | __main__:run_winclip:41 - bottle=======i_f1: 95.31
2023-07-16 23:38:59.764 | INFO     | __main__:run_winclip:41 - bottle=======p_f1: 58.99
2023-07-16 23:38:59.764 | INFO     | __main__:run_winclip:41 - bottle=======r_f1: 0.00
2023-07-16 23:38:59.772 | INFO     | utils.training_utils:get_dir_from_args:51 - ===> Root dir for this experiment: ./result_winclip/mvtec-k-0/logger/bottle
2023-07-16 23:38:59.774 | INFO     | datasets:get_dataloader_from_args:43 - ===> datasets: mvtec, class name/len: bottle/83, batch size: 128
2023-07-16 23:39:02.355 | INFO     | test:test:26 - begin build text feature gallery...
2023-07-16 23:39:02.641 | INFO     | test:test:28 - build text feature gallery finished.
2023-07-16 23:44:10.257 | INFO     | __main__:run_winclip:41 - bottle=======i_roc: 97.54
2023-07-16 23:44:12.036 | INFO     | __main__:run_winclip:41 - bottle=======p_roc: 90.32
2023-07-16 23:44:31.088 | INFO     | __main__:run_winclip:41 - bottle=======p_pro: 0.00
2023-07-16 23:44:32.355 | INFO     | __main__:run_winclip:41 - bottle=======i_f1: 95.31
2023-07-16 23:44:35.569 | INFO     | __main__:run_winclip:41 - bottle=======p_f1: 58.99
2023-07-16 23:44:36.646 | INFO     | __main__:run_winclip:41 - bottle=======r_f1: 0.00
2023-07-16 23:44:42.077 | INFO     | utils.training_utils:get_dir_from_args:51 - ===> Root dir for this experiment: ./result_winclip/mvtec-k-0/logger/bottle
2023-07-16 23:44:42.080 | INFO     | datasets:get_dataloader_from_args:43 - ===> datasets: mvtec, class name/len: bottle/83, batch size: 128
2023-07-16 23:44:44.698 | INFO     | test:test:26 - begin build text feature gallery...
2023-07-16 23:44:44.998 | INFO     | test:test:28 - build text feature gallery finished.
2023-07-16 23:48:54.147 | INFO     | __main__:run_winclip:41 - bottle=======i_roc: 97.54
2023-07-16 23:48:57.246 | INFO     | __main__:run_winclip:41 - bottle=======p_roc: 90.32
2023-07-16 23:48:58.650 | INFO     | __main__:run_winclip:41 - bottle=======p_pro: 0.00
2023-07-16 23:48:59.961 | INFO     | __main__:run_winclip:41 - bottle=======i_f1: 95.31
2023-07-16 23:49:01.313 | INFO     | __main__:run_winclip:41 - bottle=======p_f1: 58.99
2023-07-16 23:49:02.840 | INFO     | __main__:run_winclip:41 - bottle=======r_f1: 0.00
2023-07-16 23:52:13.601 | INFO     | utils.training_utils:get_dir_from_args:51 - ===> Root dir for this experiment: ./result_winclip/mvtec-k-0/logger/bottle
