| objects    |   auroc_px |   f1_px |   ap_px |   aupro |   auroc_sp |   f1_sp |   pr_sp |
|:-----------|-----------:|--------:|--------:|--------:|-----------:|--------:|--------:|
| bottle     |       91.9 |    53.6 |    55.9 |    78   |       97   |    97.6 |    99.2 |
| cable      |       72   |    27   |    18.2 |    70   |       85.6 |    84.3 |    90.1 |
| capsule    |       86.9 |    17.1 |     9.4 |    58.3 |       70.9 |    92.3 |    91.4 |
| carpet     |       97.8 |    49.1 |    44.8 |    90.2 |       99.5 |    98.3 |    99.9 |
| grid       |       96   |    22.9 |    15   |    88.5 |       99.8 |    99.1 |    99.9 |
| hazelnut   |       94.6 |    34.5 |    27   |    78.8 |       92   |    88.1 |    95.9 |
| leather    |       98.9 |    37.8 |    34.1 |    95.3 |      100   |   100   |   100   |
| metal_nut  |       72.7 |    30.1 |    23.2 |    53.7 |       92.9 |    93.1 |    98.3 |
| pill       |       80.6 |    19.5 |    14.6 |    72.1 |       83.7 |    91.6 |    96.6 |
| screw      |       91.4 |    14   |     5.9 |    65.6 |       76.9 |    86.2 |    91.1 |
| tile       |       91.1 |    51.4 |    44.3 |    72.7 |      100   |    99.4 |   100   |
| toothbrush |       92.7 |    23.5 |    13   |    80.5 |       93.3 |    92.1 |    97.4 |
| transistor |       75.6 |    31.9 |    23.1 |    54   |       87.2 |    81   |    87.1 |
| wood       |       95.8 |    52.2 |    58.4 |    78.6 |       97.4 |    96   |    99.2 |
| zipper     |       94.7 |    35.4 |    25.2 |    83.3 |       94   |    94.6 |    98.3 |
| mean       |       88.9 |    33.3 |    27.5 |    74.6 |       91.4 |    92.9 |    96.3 |
