| objects    |   auroc_px |   f1_px |   ap_px |   auroc_sp |   f1_sp |   pr_sp |
|:-----------|-----------:|--------:|--------:|-----------:|--------:|--------:|
| bottle     |       82.7 |    44.8 |    41.8 |       93.9 |    93.4 |    98.1 |
| cable      |       43.7 |     5.6 |     3.6 |       83.2 |    81.7 |    89.7 |
| capsule    |       53.7 |     6.8 |     2.5 |       64.5 |    90.8 |    89.3 |
| carpet     |       93.8 |    43.7 |    36   |       99.6 |    98.3 |    99.9 |
| grid       |       97.3 |    34   |    24.3 |       99   |    98.2 |    99.7 |
| hazelnut   |       90.8 |    29   |    20.3 |       87.6 |    85.1 |    93.2 |
| leather    |       98.8 |    41.2 |    29.7 |      100   |   100   |   100   |
| metal_nut  |       59.7 |    24   |    17.2 |       92   |    94.6 |    97.9 |
| pill       |       74.8 |    15.5 |     9.7 |       85.2 |    91.9 |    97   |
| screw      |       81.7 |     4.3 |     1.5 |       77.9 |    85.6 |    92.5 |
| tile       |       52.8 |    21   |    16.1 |      100   |   100   |   100   |
| toothbrush |       78.4 |    14.9 |     7.1 |       86.1 |    86.6 |    94.8 |
| transistor |       61.9 |    12.4 |     9   |       80.4 |    71.1 |    77.7 |
| wood       |       92.9 |    50.2 |    50.1 |       92.1 |    91.7 |    97.6 |
| zipper     |       89.4 |    26.4 |    19.4 |       91.6 |    92.2 |    97.8 |
| mean       |       76.8 |    24.9 |    19.2 |       88.9 |    90.7 |    95   |
