| objects    |   auroc_px |   f1_px |   ap_px |   aupro |   auroc_sp |   f1_sp |   pr_sp |
|:-----------|-----------:|--------:|--------:|--------:|-----------:|--------:|--------:|
| bottle     |       90.9 |    53.2 |    54.6 |    75.7 |       97   |    97.6 |    99.2 |
| cable      |       67.7 |    23   |    14.7 |    66.2 |       85.6 |    84.3 |    90.1 |
| capsule    |       82.8 |    14.9 |     7.9 |    52.4 |       70.9 |    92.3 |    91.4 |
| carpet     |       95.6 |    42.5 |    34.5 |    85.1 |       99.5 |    98.3 |    99.9 |
| grid       |       95.7 |    22.3 |    14.5 |    87.1 |       99.8 |    99.1 |    99.9 |
| hazelnut   |       93.8 |    32.5 |    25   |    75.6 |       92   |    88.1 |    95.9 |
| leather    |       98.7 |    36.3 |    31.5 |    94.5 |      100   |   100   |   100   |
| metal_nut  |       71.4 |    29.6 |    21.8 |    46.4 |       92.9 |    93.1 |    98.3 |
| pill       |       79.5 |    18.4 |    13.7 |    69.8 |       83.7 |    91.6 |    96.6 |
| screw      |       88.5 |    13.5 |     5.4 |    60.1 |       76.9 |    86.2 |    91.1 |
| tile       |       77   |    35.9 |    27.7 |    54.3 |      100   |    99.4 |   100   |
| toothbrush |       91.6 |    20.6 |    10.7 |    80.1 |       93.3 |    92.1 |    97.4 |
| transistor |       75.6 |    24.6 |    18.5 |    50.8 |       87.2 |    81   |    87.1 |
| wood       |       95.1 |    49.7 |    55.7 |    75.1 |       97.4 |    96   |    99.2 |
| zipper     |       94.3 |    35.1 |    24.4 |    82.2 |       94   |    94.6 |    98.3 |
| mean       |       86.6 |    30.1 |    24   |    70.4 |       91.4 |    92.9 |    96.3 |
